Tools,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457974,1,OK,0.0050061,-0.6861783,0.7268124,0.0296333,-112.096,56.395,-142.856,0.0295747,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457974,1,OK,-0.0766655,0.5535727,-0.6886519,0.4619937,-94.533,-15.667,38.194,0.0786016,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457982,1,OK,0.0050261,-0.6861638,0.7268263,0.0296232,-112.100,56.401,-142.856,0.0298386,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457982,1,OK,-0.0751526,0.5573108,-0.6858028,0.4619862,-95.122,-15.270,37.229,0.0751075,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457990,1,OK,0.0050193,-0.6861540,0.7268351,0.0296342,-112.101,56.406,-142.858,0.0295853,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457990,1,OK,-0.0716189,0.5626667,-0.6821513,0.4614614,-95.578,-14.311,36.451,0.0771217,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457998,1,OK,0.0050053,-0.6861559,0.7268337,0.0296265,-112.104,56.405,-142.863,0.0295276,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457998,1,OK,-0.0712862,0.5664342,-0.6809042,0.4587374,-96.079,-13.011,35.950,0.0803594,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458006,1,OK,0.0049942,-0.6861582,0.7268320,0.0296186,-112.105,56.403,-142.866,0.0295089,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458006,1,OK,-0.0728498,0.5719631,-0.6791466,0.4542147,-96.796,-11.051,35.689,0.0803063,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458014,1,OK,0.0050106,-0.6861500,0.7268400,0.0296101,-112.108,56.406,-142.865,0.0298043,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458014,1,OK,-0.0753632,0.5780575,-0.6766378,0.4498124,-97.631,-8.671,35.559,0.0846918,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458022,1,OK,0.0050226,-0.6861417,0.7268478,0.0296082,-112.106,56.406,-142.866,0.0294837,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458022,1,OK,-0.0731723,0.5863234,-0.6721334,0.4462145,-98.339,-6.020,35.494,0.0880404,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458030,1,OK,0.0050328,-0.6861497,0.7268412,0.0295829,-112.103,56.401,-142.868,0.0293255,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458030,1,OK,-0.0738565,0.5923036,-0.6708929,0.4400277,-99.155,-3.381,35.337,0.0893720,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458038,1,OK,0.0050685,-0.6861464,0.7268454,0.0295477,-112.099,56.399,-142.867,0.0294161,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458038,1,OK,-0.0797167,0.5944282,-0.6746730,0.4302520,-100.244,-0.734,35.140,0.0904371,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1458046,1,OK,0.0051277,-0.6861323,0.7268601,0.0295035,-112.094,56.397,-142.862,0.0296443,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1458046,1,OK,-0.0814209,0.5946498,-0.6798104,0.4214500,-101.084,2.076,34.909,0.0882649,0
